item_id,coverage_id,areaperil_id,vulnerability_id,group_id
1, 1, 1, 1, 1
2, 2, 1, 1, 1
3, 3, 1, 1, 1
4, 4, 1, 1, 1
5, 5, 1, 1, 2
6, 6, 1, 1, 2
7, 7, 1, 1, 2
8, 8, 1, 1, 2
9, 9, 1, 1, 3
10, 10, 1, 1, 3
11, 11, 1, 1, 3
12, 12, 1, 1, 3
13, 13, 1, 1, 4
14, 14, 1, 1, 4
15, 15, 1, 1, 4
16, 16, 1, 1, 4
17, 17, 1, 1, 5
18, 18, 1, 1, 5
19, 19, 1, 1, 5
20, 20, 1, 1, 5
21, 21, 1, 1, 6
22, 22, 1, 1, 6
23, 23, 1, 1, 6
24, 24, 1, 1, 6
25, 25, 1, 1, 7
26, 26, 1, 1, 7
27, 27, 1, 1, 7
28, 28, 1, 1, 7
29, 29, 1, 1, 8
30, 30, 1, 1, 8
31, 31, 1, 1, 8
32, 32, 1, 1, 8
33, 33, 1, 1, 9
34, 34, 1, 1, 9
35, 35, 1, 1, 9
36, 36, 1, 1, 9
37, 37, 1, 1, 10
38, 38, 1, 1, 10
39, 39, 1, 1, 10
40, 40, 1, 1, 10
41, 41, 1, 1, 11
42, 42, 1, 1, 11
43, 43, 1, 1, 11
44, 44, 1, 1, 11
45, 45, 1, 1, 12
46, 46, 1, 1, 12
47, 47, 1, 1, 12
48, 48, 1, 1, 12
49, 49, 1, 1, 13
50, 50, 1, 1, 13
51, 51, 1, 1, 13
52, 52, 1, 1, 13
53, 53, 1, 1, 14
54, 54, 1, 1, 14
55, 55, 1, 1, 14
56, 56, 1, 1, 14
57, 57, 1, 1, 15
58, 58, 1, 1, 15
59, 59, 1, 1, 15
60, 60, 1, 1, 15
61, 61, 1, 1, 16
62, 62, 1, 1, 16
63, 63, 1, 1, 16
64, 64, 1, 1, 16
65, 65, 1, 1, 17
66, 66, 1, 1, 17
67, 67, 1, 1, 17
68, 68, 1, 1, 17
69, 69, 1, 1, 18
70, 70, 1, 1, 18
71, 71, 1, 1, 18
72, 72, 1, 1, 18
73, 73, 1, 1, 19
74, 74, 1, 1, 19
75, 75, 1, 1, 19
76, 76, 1, 1, 19
77, 77, 1, 1, 20
78, 78, 1, 1, 20
79, 79, 1, 1, 20
80, 80, 1, 1, 20
81, 81, 1, 1, 21
82, 82, 1, 1, 21
83, 83, 1, 1, 21
84, 84, 1, 1, 21
85, 85, 1, 1, 22
86, 86, 1, 1, 22
87, 87, 1, 1, 22
88, 88, 1, 1, 22
89, 89, 1, 1, 23
90, 90, 1, 1, 23
91, 91, 1, 1, 23
92, 92, 1, 1, 23
93, 93, 1, 1, 24
94, 94, 1, 1, 24
95, 95, 1, 1, 24
96, 96, 1, 1, 24
97, 97, 1, 1, 25
98, 98, 1, 1, 25
99, 99, 1, 1, 25
100, 100, 1, 1, 25
101, 101, 1, 1, 26
102, 102, 1, 1, 26
103, 103, 1, 1, 26
104, 104, 1, 1, 26
105, 105, 1, 1, 27
106, 106, 1, 1, 27
107, 107, 1, 1, 27
108, 108, 1, 1, 27
109, 109, 1, 1, 28
110, 110, 1, 1, 28
111, 111, 1, 1, 28
112, 112, 1, 1, 28
113, 113, 1, 1, 29
114, 114, 1, 1, 29
115, 115, 1, 1, 29
116, 116, 1, 1, 29
117, 117, 1, 1, 30
118, 118, 1, 1, 30
119, 119, 1, 1, 30
120, 120, 1, 1, 30
121, 121, 1, 1, 31
122, 122, 1, 1, 31
123, 123, 1, 1, 31
124, 124, 1, 1, 31
125, 125, 1, 1, 32
126, 126, 1, 1, 32
127, 127, 1, 1, 32
128, 128, 1, 1, 32
129, 129, 1, 1, 33
130, 130, 1, 1, 33
131, 131, 1, 1, 33
132, 132, 1, 1, 33
133, 133, 1, 1, 34
134, 134, 1, 1, 34
135, 135, 1, 1, 34
136, 136, 1, 1, 34
137, 137, 1, 1, 35
138, 138, 1, 1, 35
139, 139, 1, 1, 35
140, 140, 1, 1, 35
141, 141, 1, 1, 36
142, 142, 1, 1, 36
143, 143, 1, 1, 36
144, 144, 1, 1, 36
145, 145, 1, 1, 37
146, 146, 1, 1, 37
147, 147, 1, 1, 37
148, 148, 1, 1, 37
149, 149, 1, 1, 38
150, 150, 1, 1, 38
151, 151, 1, 1, 38
152, 152, 1, 1, 38
153, 153, 1, 1, 39
154, 154, 1, 1, 39
155, 155, 1, 1, 39
156, 156, 1, 1, 39
157, 157, 1, 1, 40
158, 158, 1, 1, 40
159, 159, 1, 1, 40
160, 160, 1, 1, 40
161, 161, 1, 1, 41
162, 162, 1, 1, 41
163, 163, 1, 1, 41
164, 164, 1, 1, 41
165, 165, 1, 1, 42
166, 166, 1, 1, 42
167, 167, 1, 1, 42
168, 168, 1, 1, 42
169, 169, 1, 1, 43
170, 170, 1, 1, 43
171, 171, 1, 1, 43
172, 172, 1, 1, 43
173, 173, 1, 1, 44
174, 174, 1, 1, 44
175, 175, 1, 1, 44
176, 176, 1, 1, 44
177, 177, 1, 1, 45
178, 178, 1, 1, 45
179, 179, 1, 1, 45
180, 180, 1, 1, 45
181, 181, 1, 1, 46
182, 182, 1, 1, 46
183, 183, 1, 1, 46
184, 184, 1, 1, 46
185, 185, 1, 1, 47
186, 186, 1, 1, 47
187, 187, 1, 1, 47
188, 188, 1, 1, 47
189, 189, 1, 1, 48
190, 190, 1, 1, 48
191, 191, 1, 1, 48
192, 192, 1, 1, 48
193, 193, 1, 1, 49
194, 194, 1, 1, 49
195, 195, 1, 1, 49
196, 196, 1, 1, 49
197, 197, 1, 1, 50
198, 198, 1, 1, 50
199, 199, 1, 1, 50
200, 200, 1, 1, 50
201, 201, 1, 1, 51
202, 202, 1, 1, 51
203, 203, 1, 1, 51
204, 204, 1, 1, 51
205, 205, 1, 1, 52
206, 206, 1, 1, 52
207, 207, 1, 1, 52
208, 208, 1, 1, 52
209, 209, 1, 1, 53
210, 210, 1, 1, 53
211, 211, 1, 1, 53
212, 212, 1, 1, 53
213, 213, 1, 1, 54
214, 214, 1, 1, 54
215, 215, 1, 1, 54
216, 216, 1, 1, 54
217, 217, 1, 1, 55
218, 218, 1, 1, 55
219, 219, 1, 1, 55
220, 220, 1, 1, 55
221, 221, 1, 1, 56
222, 222, 1, 1, 56
223, 223, 1, 1, 56
224, 224, 1, 1, 56
225, 225, 1, 1, 57
226, 226, 1, 1, 57
227, 227, 1, 1, 57
228, 228, 1, 1, 57
229, 229, 1, 1, 58
230, 230, 1, 1, 58
231, 231, 1, 1, 58
232, 232, 1, 1, 58
233, 233, 1, 1, 59
234, 234, 1, 1, 59
235, 235, 1, 1, 59
236, 236, 1, 1, 59
237, 237, 1, 1, 60
238, 238, 1, 1, 60
239, 239, 1, 1, 60
240, 240, 1, 1, 60
241, 241, 1, 1, 61
242, 242, 1, 1, 61
243, 243, 1, 1, 61
244, 244, 1, 1, 61
245, 245, 1, 1, 62
246, 246, 1, 1, 62
247, 247, 1, 1, 62
248, 248, 1, 1, 62
249, 249, 1, 1, 63
250, 250, 1, 1, 63
251, 251, 1, 1, 63
252, 252, 1, 1, 63
253, 253, 1, 1, 64
254, 254, 1, 1, 64
255, 255, 1, 1, 64
256, 256, 1, 1, 64
